pidlink,sex,age
009200003,3.0,32.0
009200004,3.0,30.0
009200005,1.0,27.0
009200006,1.0,24.0
009200007,1.0,20.0
009200008,3.0,18.0
009204103,1.0,46.0
009205201,1.0,39.0
009210001,3.0,57.0
009210003,1.0,30.0
009210004,3.0,27.0
009210005,1.0,26.0
009210006,1.0,23.0
009210008,1.0,53.0
009210009,1.0,19.0
009210010,1.0,17.0
009214101,1.0,34.0
009215102,3.0,25.0
009220001,1.0,50.0
009220002,3.0,49.0
009220003,1.0,25.0
009220006,3.0,19.0
009220007,1.0,17.0
009220008,3.0,16.0
009225102,3.0,33.0
009230001,1.0,53.0
009230002,3.0,54.0
009230003,3.0,27.0
009230004,3.0,26.0
009230005,1.0,24.0
009230006,3.0,22.0
009230009,3.0,18.0
009234102,1.0,30.0
009234202,1.0,27.0
009240001,3.0,71.0
009240002,3.0,46.0
009240005,1.0,44.0
009240006,3.0,16.0
009260003,1.0,49.0
009260004,3.0,48.0
009260008,1.0,19.0
009280002,3.0,54.0
009280004,3.0,27.0
009280007,3.0,21.0
009284202,1.0,31.0
